system,brand,series,code,name,romanianName,previewHex,finish,usageScope,translucent,active,source,notes
RAL,,,1000,Green beige,,#BEBD7F,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,1001,Beige,,#C2B078,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,1002,Sand yellow,,#C6A664,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,1003,Signal yellow,,#E5BE01,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,1004,Golden yellow,,#CDA434,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,1005,Honey yellow,,#A98307,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,1006,Maize yellow,,#E4A010,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,1007,Daffodil yellow,,#DC9D00,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,1011,Brown beige,,#8A6642,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,1012,Lemon yellow,,#C7B446,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,1013,Oyster white,,#EAE6CA,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,1014,Ivory,,#E1CC4F,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,1015,Light ivory,,#E6D690,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,1016,Sulfur yellow,,#EDFF21,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,1017,Saffron yellow,,#F5D033,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,1018,Zinc yellow,,#F8F32B,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,1019,Grey beige,,#9E9764,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,1020,Olive yellow,,#999950,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,1021,Rape yellow,,#F3DA0B,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,1023,Traffic yellow,,#FAD201,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,1024,Ochre yellow,,#AEA04B,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,1026,Luminous yellow,,#FFFF00,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,1027,Curry,,#9D9101,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,1028,Melon yellow,,#F4A900,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,1032,Broom yellow,,#D6AE01,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,1033,Dahlia yellow,,#F3A505,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
